departure_date,departure_airport,arrival_airport,window_seat,group_size
2002-08-02,LIS,HER,0,4
2002-08-09,HER,LIS,0,4
2004-08-05,LIS,REC,0,4
2004-08-13,REC,LIS,0,4
2005-08-10,LIS,PUJ,0,9
2005-08-24,PUJ,LIS,0,9
2006-07-29,LIS,GRU,0,4
2006-08-12,GRU,MAO,0,4
2006-08-12,MAO,LIS,0,4
2008-08-03,LIS,TUN,0,9
2008-08-10,TUN,LIS,1,9
2009-07-31,OPO,BVC,0,9
2009-08-06,BVC,OPO,0,9
2010-08-10,LIS,MAH,0,10
2010-08-16,MAH,LIS,0,10
2011-04-11,OPO,CDG,0,7
2011-04-16,CDG,OPO,1,7
2012-08-09,LIS,PRG,1,3
2012-08-15,VIE,LIS,0,3
2013-01-21,OPO,LCY,1,5
2013-01-25,LCY,OPO,0,5
2013-07-17,OPO,FCO,0,3
2013-07-22,VCE,OPO,1,3
2013-08-07,LIS,IST,0,3
2013-08-13,IST,AYT,0,3
2013-08-13,AYT,LIS,0,3
2014-11-13,OPO,MRS,0,2
2014-11-17,MRS,OPO,1,2
2014-08-10,DBV,OPO,0,2
2014-08-16,OPO,DBV,0,2
2014-07-27,LIS,DXB,0,3
2014-07-28,DXB,KUL,1,3
2014-07-31,KUL,SIN,0,3
2014-08-02,SIN,HKG,0,3
2014-08-07,MFM,DXB,0,3
2014-08-08,DXB,LIS,0,3
2015-04-02,OPO,AMS,0,4
2015-04-06,AMS,OPO,1,4
2015-07-18,OPO,DUB,0,4
2015-07-26,BFS,OPO,0,4
2015-08-01,LIS,MAD,0,3
2015-08-02,MAD,HAV,0,3
2015-08-11,HAV,MAD,0,3
2015-08-11,MAD,LIS,0,3
2016-04-15,OPO,CDG,0,2
2016-04-19,CDG,OPO,1,2
2016-06-10,OPO,CDG,0,3
2016-06-14,CDG,OPO,0,3
2016-07-18,OPO,VCE,0,5
2016-07-26,ATH,OPO,0,5
2016-08-02,LIS,SVO,0,4
2016-08-13,PIE,LIS,0,4
2017-07-16,OPO,LCY,0,1
2017-07-17,LCY,ARN,1,2
2017-07-20,ARN,LCY,0,2
2017-07-21,LCY,OPO,0,1
2018-08-01,OPO,ACE,0,3
2018-08-06,ACE,OPO,1,3
2018-08-15,OPO,BRU,0,2
2018-08-20,BRU,OPO,0,2
2019-04-20,OPO,STN,0,2
2019-04-25,STN,OPO,0,2
2019-07-16,OPO,STN,0,2
2019-07-21,STN,OPO,0,2
2019-08-01,OPO,WAW,0,3
2019-08-07,BER,OPO,1,3
2019-08-13,MAD,CUN,0,5
2019-08-22,CUN,MAD,0,5
2021-08-09,OPO,PDL,0,8
2021-08-13,PDL,ACL,1,8
2021-08-16,ACL,PDL,0,8
2021-08-16,PDL,OPO,0,8
2022-11-19,OPO,MUC,0,1
2022-11-20,MUC,SFO,0,1
2022-11-25,SFO,ZRH,0,1
2022-11-25,ZRH,OPO,0,1
2023-03-10,OPO,BRU,0,15
2023-03-14,BRU,OPO,0,15
2023-07-21,LIS,MAD,1,2
2023-07-22,MAD,EZE,0,2
2023-09-05,EZE,SLA,1,4
2023-09-10,JUJ,EZE,1,5